settings_id;only_admin_can_send;only_admin_can_add_members;auto_delete_days;allow_reactions;allow_replies;allow_attachments;max_attachment_size_mb;allowed_file_types;show_read_receipts;show_typing_indicators
af481ec6-bbc3-4411-9ce2-b3e49490f761;19285;31130;14400;30777;20484;19670;21759;daintily above;15549;5582
2f3c74f2-1199-4694-8ffd-6e1a7a4b5650;13653;32131;13596;21792;29901;28527;32214;physically regarding righteously;1961;13116
7ce02d8f-908a-4e3a-a896-d254487c0e4f;26503;28378;30675;9429;9574;1073;18849;galvanize;31421;3300
e9af584e-9c85-4c71-bd4a-0c98cde7638a;22279;49;12646;30414;10435;14308;7681;across cutover dimly;14759;8231
5b8b4fb8-9f21-4305-8acb-aa3afece5a91;5524;23921;419;23991;16906;14645;20977;controvert fray aha;9848;24632
d7151280-be04-4437-a118-e85fc51e449c;14611;32019;22980;3259;2007;20172;27939;fooey;1985;27037
a321adb0-fd6c-4685-af9b-65450e4e8da1;19546;16149;11877;11010;6044;17515;4612;duh;5684;22804
9e2b98ff-d856-49ff-9321-3bb946a69d31;30048;28374;17268;12038;19219;13502;23843;ethical;3743;13092
67e6b0b9-354c-4660-bbe0-d8f84ea43905;25417;2652;4712;15611;14352;23995;25395;oddly;26598;20489
bb8d2ef6-e6e9-4ac3-bdec-1def6e9b958c;28319;19016;22635;10404;8562;4053;9006;hmph really afore;18476;13903
