reaction_id;user_id;emoji;emoji_display;message_message_id
54402fec-c655-475c-aea1-d5d6d0e5c2b5;furthermore unless;lashes instead times;how however;6bb3d110-e9c6-4e43-9a75-e21055cddff5
37937181-ba0f-4ef0-aeb1-c7334fc079b6;enormously solidly eke;given;hm how;4041c32e-77f6-40db-95f6-c9ee9d4d42a1
719c6ef9-1590-4263-8fe1-86de22ddca83;sideboard lifestyle mid;aside vastly captain;row and brr;14e3a3cb-552b-47c4-8697-00096c2c6edc
649394f3-0c42-4c4b-88f6-58cad1fdbffb;simple ugly considering;ew yuppify;loudly intrigue;2279b136-314d-498c-aa44-8b43b31b09cb
16f04922-a6e9-4bb2-a191-a5e854e0b9af;around educated notwithstanding;instead;ew haze;b4f1eca0-0ed2-490c-87f7-61c5fb3aa467
d1e3be2e-5d01-4d56-92d7-7d290bd7883b;palate e-mail deceivingly;electrify though psst;circa instead turbul;55af1f5d-da66-4c8a-b71c-6e0d8e9e3e91
7f3c1abc-a7f4-44a6-823e-d302b24196a0;forenenst victoriously;kiss vaguely;diligently via;391dd71a-9079-42b0-af6e-0c75517659d2
dc1fa1f9-f6c0-48c6-acdf-9f4f26ac7ee4;zowie closed;er plastic;between;b4535962-f60b-438b-b2d0-8cb0f6253a76
5fbd0c7f-919b-4d44-83f2-2998ec1fbfd4;unwritten fictionalize phew;cheerful enrage;easily neighboring r;eca4021f-d5e0-4e53-ba0a-e1b1e9cbdfac
f1fceedd-76eb-46fa-8ed8-561130aded8a;phooey;hasty bid yowza;hunt continually upl;9bf5a93c-1a47-4100-bf24-6c18905169f7
