receipt_id;user_id;read_at;device_type;message_message_id
5981b9b8-f5b4-4f1f-aa74-f10ee733d977;why amid;2026-02-03T17:50:37;ouch kit;6bb3d110-e9c6-4e43-9a75-e21055cddff5
8ecf11ca-2d86-4da9-b375-51d2b108a3cc;eventually neglected;2026-02-03T14:35:09;opposite violent;4041c32e-77f6-40db-95f6-c9ee9d4d42a1
51e371ef-41c8-408f-989c-55b295059ab2;anti after dearest;2026-02-03T19:06:24;modulo wrongly;14e3a3cb-552b-47c4-8697-00096c2c6edc
5b4abab6-c581-4d87-8314-6f6edcaa9ca3;muddy timely;2026-02-03T17:14:04;goodwill quip oof;2279b136-314d-498c-aa44-8b43b31b09cb
8e6981a9-7829-4162-a56e-ac1a5e0a9dae;scrabble likewise softly;2026-02-04T01:36:51;deer nervously aside;b4f1eca0-0ed2-490c-87f7-61c5fb3aa467
450078ae-6759-4890-bcaa-f40777adf26f;trusting whoever;2026-02-04T09:36:34;boohoo gleefully industrialize;55af1f5d-da66-4c8a-b71c-6e0d8e9e3e91
f98a9086-98ec-45df-9a0f-aefb3671d63e;so gratefully back;2026-02-04T03:13:36;at aw opposite;391dd71a-9079-42b0-af6e-0c75517659d2
14ed0713-d54f-4419-8f3e-60c3755122f7;bidet;2026-02-04T07:06:20;yuck;b4535962-f60b-438b-b2d0-8cb0f6253a76
fa7badcd-e064-4487-9b79-2b9dcde6b0a1;delete given rural;2026-02-03T16:04:27;kookily grouchy pfft;eca4021f-d5e0-4e53-ba0a-e1b1e9cbdfac
7f81777f-a877-424a-ad6f-e9893c79f849;replicate;2026-02-04T02:07:24;brr punctually;9bf5a93c-1a47-4100-bf24-6c18905169f7
