shop_member_id;shop_id;user_id;role_name;created_at;updated_at;department;join_date;status;end_date;work_schedule;salary_type;base_salary;commission
a125479c-d875-4d5c-b442-5ca7cafdd17e;oh tapioca;under at;please consequently;2026-02-07T00:20:54;2026-02-07T01:41:13;derby;whine unaware segregate;calmly consistency inwardly;yowza down;gradient;agile bathrobe gadzooks;30512.71;13937.28
a642779f-4573-4528-ba23-1ebd63e57b9e;cornet bleach meh;fledgling yearly pfft;heroine wherever irritably;2026-02-07T13:30:18;2026-02-07T14:08:01;swat if;overfeed arrogantly bah;anti progress;braid ha;elegantly questionable yippee;well-documented battle membership;18670.22;6885.44
9be27572-3905-42f0-bce5-bb5975415d17;scrape throughout foolishly;slime ferret venture;unselfish brisk;2026-02-06T17:41:29;2026-02-07T12:29:06;whereas fooey valiantly;apricot unfortunately;event;though yet lest;brisk;gah account;1846.16;19725.33
2fee5229-3d04-490b-b1c7-6f77797cfde6;plus;tremendously zealous;grouchy between instead;2026-02-06T16:22:46;2026-02-07T03:47:04;pfft;needily;why submitter backbone;furthermore vaguely;upon bracelet;furthermore when;27446.7;19137.53
1a61c53e-eddd-409e-afd3-f0a743233e2b;when;vacantly dependent;plump;2026-02-06T20:24:13;2026-02-07T11:48:28;requirement beyond ha;solidly apropos yet;yuck;doubter;recklessly forenenst;chubby hm essay;29156.02;26840.54
ea809eb5-c56b-491c-81ce-c3ac7f900935;anenst topsail;bah mechanic rudely;square continually since;2026-02-07T10:44:59;2026-02-06T21:54:07;stylish yet pack;scorpion extremely with;lest;for;ponder psst;kit how easily;16090.66;15854.55
1901064c-61f7-4034-869a-3672f56f4893;than boohoo finally;daily;plugin abandoned dreary;2026-02-06T22:01:15;2026-02-07T14:08:20;shakily hello;till that phew;bootleg pfft longboat;indeed yum reclassify;rationale after daddy;ectoderm schematise by;12216.27;22734.35
6f1e873e-fb46-4e99-9116-762ac10388ae;mesh regarding till;gracefully trivial physically;competent encode deflate;2026-02-06T22:53:24;2026-02-07T05:09:54;dental;secret;once afore whack;bog yowza sedately;afore;abaft an sadly;24189.22;28718.94
1d37b52e-51d4-469e-9eeb-d2cfa59cd95b;gee under;devastation jubilantly usable;typewriter whose invite;2026-02-07T08:39:44;2026-02-07T00:58:50;exalt highly um;gee longingly yowza;bind psst;awkwardly lest display;lightly hm colonialism;since;12852.67;28157.26
e438f99e-b061-4a7a-9c9c-14f3476c2d2e;before proper;yet flight;rout knotty;2026-02-07T12:12:35;2026-02-06T15:19:02;smooth;meh harangue;supposing whispered;usually given around;but;but like;11676.06;15338.42
